name_muni;abbrev_state;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Alta Floresta D'Oeste;RO;7549;10512;12219;12934;13669;15974;20292;18874;20957;21215;19880;16776;18793;23228;23202;25125;28261
Ariquemes;RO;42666;53928;68381;85363;100421;105935;124094;133461;165030;206128;202427;190305;195603;217467;216460;231353;252260
Cabixi;RO;1868;2394;2720;2864;3103;3138;3307;3127;4210;4682;4590;4067;4350;5287;5499;5293;5651
Cacoal;RO;49623;70783;64716;74997;80735;88829;101554;108344;145282;159309;161179;156944;178754;195894;194930;205529;225198
Cerejeiras;RO;8201;11886;16082;16758;15170;17491;16749;19516;29567;38040;52158;55567;60374;64162;58149;61087;68863
Colorado do Oeste;RO;7109;8759;10188;11026;11634;11743;12464;13393;16829;17871;16741;16369;16658;18206;18474;19615;21385
Corumbiara;RO;2335;2941;3894;4155;4217;4398;5189;5075;6013;7041;7204;6691;7105;8121;8747;10032;10394
Costa Marques;RO;2015;2689;2955;3641;4121;4280;5046;5092;6093;6839;5634;5125;5067;7030;7028;7194;7684
Espigão D'Oeste;RO;9576;13135;20508;20194;20028;21629;25335;26689;30560;34946;34156;34652;36263;42805;42129;44116;48925
Guajará-Mirim;RO;32734;47914;62352;63525;69507;78907;102452;104102;126499;143908;63578;85160;85961;96288;97062;103238;114154
Jaru;RO;39055;45895;45605;52441;46413;62321;69672;73407;88446;108076;122457;112205;117148;129123;126374;139374;160753
Ji-Paraná;RO;81995;103057;122064;126784;144671;161326;196907;217548;270166;313013;335857;330648;376406;394430;397114;409294;445341
Machadinho D'Oeste;RO;5690;9564;11904;14160;12813;13102;16032;15998;19085;21530;21853;20173;20363;25550;26387;28930;31537
Nova Brasilândia D'Oeste;RO;4630;6678;7250;9608;9598;11719;14594;13673;13004;13553;15060;13965;14590;16852;17286;18751;20134
Ouro Preto do Oeste;RO;18338;23357;25925;27673;29678;30630;34710;37170;47979;50690;45157;40752;41018;46436;48896;54518;60402
Pimenta Bueno;RO;25912;31132;34155;36902;40454;47242;65764;69525;88732;102627;114155;112341;130899;135300;144192;160879;178698
Porto Velho;RO;338316;435680;503027;613976;673009;719702;796220;972270;1305933;1486225;1696845;1601398;1671356;1823076;1902879;1942358;2120205
Presidente Médici;RO;6548;9029;11508;12609;12757;13442;15709;16427;20518;21835;21014;21641;25267;27698;31566;34092;36159
Rio Crespo;RO;836;1061;1116;1250;1568;1691;1896;1617;2063;2248;2774;3064;2297;3134;3431;3133;3396
Rolim de Moura;RO;21836;30661;34009;37663;42643;46688;59630;59962;68592;91306;89026;84603;91948;96467;98323;103311;114387
Santa Luzia D'Oeste;RO;2486;3423;3568;3699;4330;4342;5191;5860;5614;5913;5335;4825;4551;5484;5805;5313;5304
Vilhena;RO;62923;81295;99077;105084;118198;132945;167928;180168;220363;244596;254154;276465;298086;311745;309009;319947;359365
São Miguel do Guaporé;RO;4046;7553;9215;9487;10304;11881;13416;16003;24411;25891;25143;27767;26840;29160;31125;32506;36919
Nova Mamoré;RO;2880;4195;6791;7865;8221;9002;10087;10045;14228;16121;16488;14450;14559;18212;17904;17631;19574
Alvorada D'Oeste;RO;3643;4847;5686;6986;7951;7794;8006;9530;12189;12389;9577;7632;7632;9321;9273;9107;10004
Alto Alegre dos Parecis;RO;2440;3409;5095;5947;6924;7494;6475;7157;7458;7962;9260;8175;8660;10018;9261;10780;10918
Alto Paraíso;RO;3219;5278;6080;6734;7694;8659;10227;10301;10119;12048;12504;11447;11347;15775;14813;15578;16736
Buritis;RO;5804;8696;10735;12825;15211;16912;20805;20866;29752;34470;30907;26472;29583;36411;37035;41691;46423
Novo Horizonte do Oeste;RO;4225;7942;7289;7389;6783;5632;6055;6082;5706;5557;5122;4675;4898;5939;6193;6667;7224
Cacaulândia;RO;1692;2093;2305;2530;3003;3161;3449;3041;3875;4100;3629;3487;4654;4357;4206;3697;4042
Campo Novo de Rondônia;RO;1283;1662;2035;2516;2941;3418;4062;3754;5325;6619;5606;5290;5274;6522;6141;6395;7637
Candeias do Jamari;RO;2387;3130;5841;7911;9216;9554;10391;11425;14764;17239;15061;13138;18456;18812;18421;19768;22466
Castanheiras;RO;879;1094;1271;1430;1596;1601;1709;1423;2061;2388;2027;1838;1944;2075;1977;2500;2755
